COLLCODE,COLL_NAME
2332,AISHWARYA COLLEGE OF ENGINEERING AND TECHNOLOGY
2338,ASIAN COLLEGE OF ENGINEERING AND TECHNOLOGY
2341,GANESH COLLEGE OF ENGINEERING
2342,SRI RANGANATHAR INSTITUTE OF ENGINEERING & TECHNOLOGY
2343,INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY
2345,DHIRAJLAL GANDHI COLLEGE OF TECHNOLOGY
2346,SHREE SATHYAM COLLEGE OF ENGINEERING AND TECHNOLOGY
2347,AVS COLLEGE OF TECHNOLOGY
2349,DHAANISH AHMED INSTITUTE OF TECHNOLOGY
2354,POLLACHI INSTITUTE OF ENGINEERING AND TECHNOLOGY
2355,CHERAN COLLEGE OF ENGINEERING
2356,ARULMURUGAN COLLEGE OF ENGINEERING
2357,V.S.B. COLLEGE OF ENGINEERING TECHNICAL CAMPUS
2358,SCAD INSTITUTE OF TECHNOLOGY
2360,SUGUNA COLLEGE OF ENGINEERING
2362,HOSUR INSTITUTE OF TECHNOLOGY AND SCIENCE
2367,ARJUN COLLEGE OF TECHNOLOGY
2369,GOVERNMENT COLLEGE OF ENGINEERING - DHARMAPURI
2377,PSG INSTITUTE OF TECHNOLOGY AND APPLIED RESEARCH
2601,ADHIYAMAAN COLLEGE OF ENGINEERING (AUTONOMOUS)
2602,ANNAI MATHAMMAL SHEELA ENGINEERING COLLEGE
2603,GOVERNMENT COLLEGE OF  ENGINEERING - BARGUR (AUTONOMOUS)
2606,JAYAM COLLEGE OF ENGINEERING AND TECHNOLOGY
2607,K.S.RANGASAMY COLLEGE OF TECHNOLOGY (AUTONOMOUS)
2608,M.KUMARASAMY COLLEGE OF ENGINEERING (AUTONOMOUS)
2609,MAHENDRA ENGINEERING COLLEGE (AUTONOMOUS)
2610,MUTHAYAMMAL ENGINEERING COLLEGE (AUTONOMOUS)
2611,PAAVAI ENGINEERING COLLEGE (AUTONOMOUS)
2612,P G P COLLEGE OF ENGINEERING AND TECHNOLOGY
2613,K.S.R. COLLEGE OF ENGINEERING (AUTONOMOUS)
2614,S.S.M. COLLEGE OF ENGINEERING
2615,GOVERNMENT COLLEGE OF ENGINEERING - SALEM (AUTONOMOUS)
2616,SAPTHAGIRI COLLEGE OF ENGINEERING
2617,SENGUNTHAR ENGINEERING COLLEGE
2618,SONA COLLEGE OF TECHNOLOGY (AUTONOMOUS)
2620,VIVEKANANDHA COLLEGE OF ENGINEERING FOR WOMEN (AUTONOMOUS)
2621,ER.PERUMAL MANIMEKALAI COLLEGE OF ENGINEERING
2622,V.S.B. ENGINEERING COLLEGE
2623,MAHENDRA COLLEGE OF ENGINEERING
2624,GNANAMANI COLLEGE OF TECHNOLOGY
2625,THE KAVERY ENGINEERING COLLEGE
2627,SELVAM COLLEGE OF TECHNOLOGY
2628,PAAVAI COLLEGE OF ENGINEERING
2629,SENGUNTHAR COLLEGE OF ENGINEERING
2630,CHETTINAD COLLEGE OF ENGINEERING AND TECHNOLOGY
2631,KING COLLEGE OF TECHNOLOGY
2632,MAHENDRA INSTITUTE OF TECHNOLOGY
2633,VIDYAA VIKAS COLLEGE OF ENGINEERING AND TECHNOLOGY
2634,EXCEL ENGINEERING COLLEGE
2635,CMS COLLEGE OF ENGINEERING
2636,A V S ENGINEERING COLLEGE
2638,MAHENDRA ENGINEERING COLLEGE FOR WOMEN
2639,NARASU'S SARATHY INSTITUTE OF TECHNOLOGY
2640,JAYALAKSHMI INSTITUTE OF TECHNOLOGY
2641,VARUVAN VADIVELAN INSTITUTE OF TECHNOLOGY
2642,P.S.V.COLLEGE OF ENGINEERING AND TECHNOLOGY
2643,BHARATHIYAR INSTITUTE OF ENGINEERING FOR WOMEN
2646,TAGORE INSTITUTE OF ENGINEERING AND TECHNOLOGY
2647,J.K.K. NATTRAJA COLLEGE OF ENGINEERING AND TECHNOLOGY
2648,ANNAPOORANA ENGINEERING COLLEGE
2649,KARUR COLLEGE OF ENGINEERING
2650,CHRIST THE KING ENGINEERING COLLEGE
2651,JAI SHRIRAM ENGINEERING COLLEGE
2652,AL-AMEEN ENGINEERING COLLEGE
2653,KNOWLEDGE INSTITUTE OF TECHNOLOGY
2654,S V S COLLEGE OF ENGINEERING
2656,BUILDERS ENGINEERING COLLEGE
2657,PAVAI COLLEGE OF TECHNOLOGY
2658,VSA GROUP OF INSTITUTIONS
2659,SALEM COLLEGE OF ENGINEERING AND TECHNOLOGY
2660,GNANAMANI COLLEGE OF ENGINEERING
2661,VIVEKANANDHA COLLEGE OF TECHNOLOGY FOR WOMEN
2664,EXCEL COLLEGE OF ENGINEERING AND TECHNOLOGY
2665,MAHENDRA INSTITUTE OF ENGINEERING AND TECHNOLOGY
2666,THE KAVERY COLLEGE OF ENGINEERING
2673,SREE SAKTHI ENGINEERING COLLEGE
2682,AMBAL PROFESSIONAL GROUP OF INSTITUTIONS
2683,SHREENIVASA ENGINEERING COLLEGE
2702,BANNARI AMMAN INSTITUTE OF TECHNOLOGY (AUTONOMOUS)
2704,COIMBATORE INSTITUTE OF ENGINEERING AND TECHNOLOGY
2705,CSI COLLEGE OF ENGINEERING
2706,DR. MAHALINGAM COLLEGE OF ENGINEERING AND TECHNOLOGY (AUTONOMOUS)
2707,ERODE SENGUNTHAR ENGINEERING COLLEGE
2708,HINDUSTHAN COLLEGE OF ENGINEERING AND TECHNOLOGY (AUTONOMOUS)
2709,INSTITUTE OF ROAD AND TRANSPORT TECHNOLOGY
2710,KARPAGAM COLLEGE OF ENGINEERING (AUTONOMOUS)
2711,KONGU ENGINEERING COLLEGE (AUTONOMOUS)
2712,KUMARAGURU COLLEGE OF TECHNOLOGY  (AUTONOMOUS)
2713,M.P. NACHIMUTHU M. JAGANATHAN ENGINEERING COLLEGE
2714,MAHARAJA ENGINEERING COLLEGE
2715,NANDHA ENGINEERING COLLEGE (AUTONOMOUS)
2716,PARK COLLEGE OF ENGINEERING AND TECHNOLOGY
2717,SASURIE COLLEGE OF ENGINEERING
2718,SRI KRISHNA COLLEGE OF ENGINEERING & TECHNOLOGY (AUTONOMOUS)
2719,SRI RAMAKRISHNA ENGINEERING COLLEGE (AUTONOMOUS)
2721,TAMILNADU COLLEGE OF ENGINEERING
2722,SRI KRISHNA COLLEGE OF TECHNOLOGY (AUTONOMOUS)
2723,VELALAR COLLEGE OF ENGINEERING AND TECHNOLOGY (AUTONOMOUS)
2725,SRI RAMAKRISHNA INSTITUTE OF TECHNOLOGY (AUTONOMOUS)
2726,SNS COLLEGE OF TECHNOLOGY (AUTONOMOUS)
2727,SRI SHAKTHI INSTITUTE OF ENGINEERING AND TECHNOLOGY
2729,NEHRU INSTITUTE OF ENGINEERING AND TECHNOLOGY
2730,MAHARAJA INSTITUTE OF TECHNOLOGY
2731,R V S COLLEGE OF ENGINEERING AND TECHNOLOGY
2732,INFO INSTITUTE OF ENGINEERING
2733,ANGEL COLLEGE OF ENGINEERING AND TECHNOLOGY
2734,SNS COLLEGE OF ENGINEERING
2735,KARPAGAM INSTITUTE OF TECHNOLOGY
